"Report ID","Report Version","Reporting Entity","Report Type","Report Month","Report Year","Report Submission Date","VIN","VIN - Unknown","Serial Number","Make","Model","Model - Unknown","Model Year","Model Year - Unknown","Same Vehicle ID","Mileage","Mileage - Unknown","Driver / Operator Type","ADAS/ADS Version","ADAS/ADS Version - Unknown","ADAS/ADS Version CBI","ADS Equipped?","Automation System Engaged?","Operating Entity","Operating Entity - Unknown","Source - Complaint/Claim","Source - Telematics","Source - Law Enforcement","Source - Field Report","Source - Testing","Source - Media","Source - Other","Source - Other Text","Incident Date","Incident Date - Unknown","Notice Received Date","Incident Time (24:00)","Incident Time - Unknown","Same Incident ID","Latitude","Latitude  - Unknown","Longitude","Longitude - Unknown","Address","Address - Unknown","City","City - Unknown","State","Zip Code","Zip Code - Unknown","Roadway Type","Roadway Surface","Roadway Description","Posted Speed Limit (MPH)","Posted Speed Limit - Unknown","Lighting","Weather - Clear","Weather - Snow","Weather - Cloudy","Weather - Fog/Smoke","Weather - Rain","Weather - Severe Wind","Weather - Unknown","Weather - Other","Weather - Other Text","Crash With","Highest Injury Severity","Property Damage?","CP Pre-Crash Movement","CP Any Air Bags Deployed?","CP Was Vehicle Towed?","CP Contact Area - Rear Left","CP Contact Area - Left","CP Contact Area - Front Left","CP Contact Area - Rear","CP Contact Area - Top","CP Contact Area - Front","CP Contact Area - Rear Right","CP Contact Area - Right","CP Contact Area - Front Right","CP Contact Area - Bottom","CP Contact Area - Unknown","SV Pre-Crash Movement","SV Any Air Bags Deployed?","SV Was Vehicle Towed?","SV Were All Passengers Belted?","SV Precrash Speed (MPH)","SV Pre-crash Speed - Unknown","SV Contact Area - Rear Left","SV Contact Area - Left","SV Contact Area - Front Left","SV Contact Area - Rear","SV Contact Area - Top","SV Contact Area - Front","SV Contact Area - Rear Right","SV Contact Area - Right","SV Contact Area - Front Right","SV Contact Area - Bottom","SV Contact Area - Unknown","Data Availability - EDR","Data Availability - Police Rpt","Data Availability - Telematics","Data Availability - Complaints","Data Availability - Video","Data Availability - Other","Data Availability - No Data","Data Availability - Unknown","Law Enforcement Investigating?","Investigating Agency","Investigating Agency - Unknown","Rep Ent Or Mfr Investigating?","Investigating Officer Name","Inv. Officer Name - Unknown","Investigating Officer Phone","Inv. Officer Phone - Unknown","Investigating Officer Email","Inv. Officer Email - Unknown","Within ODD?","Within ODD? - CBI","Narrative","Narrative - CBI?"
"855-3858","1","Mercedes-Benz USA, LLC","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10003-3857","1","Navistar, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10003-3856","1","Navistar, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"883-3855","1","Mitsubishi Motors North America, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10003-3854","1","Navistar, Inc.","Monthly - No Incidents","7","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30792-3853","1","WeRide Corp","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10039-3850","1","BMW of North America, LLC","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"1042-3849","1","Porsche Cars North America, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30533-3846","1","STEER Tech","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10767-3845","1","Bentley Motors, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"14961-3840","1","Jaguar Land Rover North America, LLC","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30291-3839","1","Nuro","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"1420-3836","1","Volkswagen Group of America, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"31092-3835","1","Einride AB, Nordic Innovation House","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"1421-3834","1","Volvo Trucks North America","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30451-3833","1","Gatik AI Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"540-3832","1","General Motors, LLC","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"690-3830","1","Isuzu Motors Limited","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"837-3829","1","Maserati North America, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"5341-3828","1","WABCO USA LLC","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"10516-3827","1","ZF North America, Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"32550-3826","1","HL Klemove","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"12381-3825","1","Daimler Trucks North America, LLC","Monthly - No Incidents","7","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"12381-3799","1","Daimler Trucks North America, LLC","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30450-3823","1","Ghost Autonomy Inc.","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30711-3821","1","Pony.ai","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30490-3817","1","Beep, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30793-3802","1","Woven Planet North America, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30434-3816","1","Udelv, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30510-3814","1","Cyngn, Inc","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"1550-3813","1","Lamborghini (Automobili Lamborghini)","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"31096-3812","1","MV Transportation, Inc","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"30634-3811","1","PlusAI Inc","Monthly - No Incidents","9","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
"945-3810","1","Nissan North America, Inc.","Monthly - No Incidents","8","2022","SEP-2022",""," ","","",""," ",""," "," ",""," ","",""," "," ","","",""," "," "," "," "," "," "," "," ","",""," ","",""," "," ",""," ",""," ",""," ",""," ","",""," ","","","",""," ",""," "," "," "," "," "," "," "," ","","","","","","",""," "," "," "," "," "," "," "," "," "," "," ","","","","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",""," ","",""," ","",""," ",""," ",""," ",""," ",""," "
